Tag,Description,Type,Area,Category,SAP MAPPING ,Upper Limit,Low Limit
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5420.MEAS,TRN 1 1ST STG SUCT PRESS,System/Equipment,GCM1,PRESSURE,DLIB-PK543,1029,345
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5421.MEAS,TRN 1 1ST STG DISCH PRESS,System/Equipment,GCM1,PRESSURE,DLIB-PK543,4059,2475
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5475.MEAS,TARIN 1 2ND STG SUCT PRESS,System/Equipment,GCM1,PRESSURE,DLIB-HD547-PK,3784,600
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5476.MEAS,TRN 1 2ND STG DISCH PRESS,System/Equipment,GCM1,PRESSURE,DLIB-HD547-PK,8550,5400
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5480.MEAS,TRN 1 3RD STG SUCT PRESS,System/Equipment,GCM1,PRESSURE,DLIB-PK543,10157,600
PC.PMO.DULG-DP-B.DCS.TCP1_AI1:B_PI5481.MEAS,TRN 1 3RD STG DISCH PRESS,System/Equipment,GCM1,PRESSURE,DLIB-PK543,10700,6500
PC.PMO.DULG-DP-B.DCS.GAS_COND:B_PT5432.PNT,PT FOR ALARMING,System/Equipment,GCM1,PRESSURE,DLIB-PK543,9300,700
PC.PMO.DULG-DP-B.DCS.GAS_COND:B_PT5532.PNT,PT FOR ALARMING,System/Equipment,GCM1,PRESSURE,DLIB-PK543,9300,700
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5520.MEAS,TRN 2 1ST STG SUCT PRESS,System/Equipment,GCM2,PRESSURE,DLIB-A520-PK,1029,345
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5521.MEAS,TRN 2 1ST STG DISCH PRESS,System/Equipment,GCM2,PRESSURE,"DLIB-PK553,",4059,2475
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5575.MEAS,TRN 2 2ND STG SUCT PRESS,System/Equipment,GCM2,PRESSURE,DLIB-HD557-PK,3784,600
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5576.MEAS,TRN 2 2ND STG DISCH PRESS,System/Equipment,GCM2,PRESSURE,DLIB-HD557-PK,8550,5400
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5580.MEAS,TRN 2 3RD STG SUCT PRESS,System/Equipment,GCM2,PRESSURE,"DLIB-PK553,",10157,600
PC.PMO.DULG-DP-B.DCS.TCP2_AI1:B_PI5581.MEAS,TRN 2 3RD STG DISCH PRESS,System/Equipment,GCM2,PRESSURE,"DLIB-PK553,",10700,6500
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2415.MEAS,,System/Equipment,CGCE,PRESSURE,"DLIB-V2415-PK,",400,315
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2420.MEAS,LPC 1 SUCTION GAS PRESS,System/Equipment,CGCE,PRESSURE,(DLIB-C2420-PK,500,175
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2421.MEAS,LPC 1 DISCHARGE GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-GT2420-PK,950,500
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2435.MEAS,LPC 2 SUCTION GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-C2435-PK,850,540
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2436.MEAS,LPC 2 DISCHARGE GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-GT2420-PK,2980,2000
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2450.MEAS,HPC 1 SUCTION GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-C2450-PK,2980,2000
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2451.MEAS,HPC 1 DISCHARGE GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-GT2420-PK,6000,4000
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2460.MEAS,,System/Equipment,CGCE,PRESSURE,DLIB-V2460-PK,6700,3900
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:PT2466.MEAS,HPC 2 DISCHARGE GAS PRESS,System/Equipment,CGCE,PRESSURE,DLIB-GT2420-PK,10600,7000
PC.PMO.DULG-DP-B.DCS.B_WTR_LAUNCH:B_PT7550.MEAS,,System/Equipment,WIM,PRESSURE,DLIB-PK755,10000,6757
PC.PMO.DULG-DP-B.DCS.B_WTR_LAUNCH:B_PT7550.PNT,,System/Equipment,WIM,PRESSURE,DLIB-PK755,10000,6757
PC.PMO.DULG-DP-B.DCS.B_WTR_LAUNCH:B_PT7560.MEAS,,System/Equipment,WIM,PRESSURE,DLIB-PK756,10000,6757
PC.PMO.DULG-DP-B.DCS.B_WTR_LAUNCH:B_PT7560.PNT,,System/Equipment,WIM,PRESSURE,DLIB-PK756,10000,6757
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2411_EN.PNT,PZT-2411 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,700,140
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2437_EN.PNT,PZT-2437 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,3060,440
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2453_EN.PNT,PZT-2453 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,7020,3500
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2468_EN.PNT,PZT-2468 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,13100,6020
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2480_EN.PNT,PZT-2480 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-DEHY-CGCE,7020,3000
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2492A_EN.PNT,PZT-2492A ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,5500,1000
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2492B_EN.PNT,PZT-2492B ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,5500,1000
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT2496_EN.PNT,PZT-2496 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,4100,1470
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT6006_EN.PNT,PZT-6006 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,6862,3100
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT6031_EN.PNT,PZT-6031 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,4350,3100
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:PZT6075_EN.PNT,PZT-6075 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,4135,2560
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:TZT6023_EN.PNT,TZT-6023 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,80,31
PC.PMO.DULG-DP-B.DCS.CSDP_CGCE:TZT6061_EN.PNT,TZT-6061 ENGINEERING VALUE,System/Equipment,CGCE,STATUS,DLIB-GT2420-PK,63,38
PC.PMO.DULG-DP-B.DCS.COMP_UTILITY:B_PICA2495.MEAS,V2495 TC FUEL GAS COALESCER,System/Equipment,CGCE,STATUS,DLIB-V2495-PK,3450,2415
PC.PMO.DULG-DP-B.DCS.COMP_UTILITY:B_PT2495.MEAS,,System/Equipment,CGCE,STATUS,DLIB-V2495-PK,3450,2415
PC.PMO.DULG-DP-B.DCS.COMP_UTILITY:PT2495.PNT,V2495 TC FULE GAS COALESCER,System/Equipment,CGCE,STATUS,DLIB-V2495-PK,3450,2415
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:B_TDIC6020.MEAS,HX6020 SEAL GAS PRE HEATER,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:B_TICA6020.MEAS,HX6020 SEAL GAS PRE HEATER,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:B_TT6020A.MEAS,,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:B_TT6020B.MEAS,,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:TT6020A.PNT,HX6020 SEAL GAS PRE HEATER,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.SEAL_GAS:TT6020B.PNT,HX6020 SEAL GAS PRE HEATER,System/Equipment,Seal Gas,TEMPERATURE,(DLIB-HX6020-PK,75,40
PC.PMO.DULG-DP-B.DCS.B_HOT_OIL:B_TICA6390.MEAS,WARM OIL TEMP IND,System/Equipment,WHRU and Hot Oil,TEMPERATURE,DLIB-P639-PK,160,100
PC.PMO.DULG-DP-B.DCS.B_HOT_OIL:B_TT6390.MEAS,WARM OIL TEMP IND,System/Equipment,WHRU and Hot Oil,TEMPERATURE,DLIB-P639-PK,160,100
PC.PMO.DULG-DP-B.DCS.B_HOT_OIL:B_TT6390.PNT,WARM OIL TEMP IND,System/Equipment,WHRU and Hot Oil,TEMPERATURE,DLIB-P639-PK,160,100
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_TIA5041.MEAS,V-504 TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-A504-PK,78,52
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_TIA5041.PNT,V-504 TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-A504-PK,78,52
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_TICA5050.MEAS,HX-505 TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-PK505,90,40
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_TT5050.MEAS,HX-505 TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-PK505,90,40
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_TT5050.PNT,HX-505 TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-PK505,90,40
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_TIA5201.MEAS,V-520 INLET TEMP  IND,Process,HP Separation,TEMPERATURE,DLIB-A520-PK,80,52
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_TIA5201.PNT,V-520 INLET TEMP  IND,Process,HP Separation,TEMPERATURE,DLIB-A520-PK,80,52
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_TICA5210.MEAS,HX-521 OUTLET TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-HX521-PK,90,45
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_TT5210.MEAS,HX-521 OUTLET TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-HX521-PK,90,45
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_TT5210.PNT,HX-521 OUTLET TEMP IND,Process,HP Separation,TEMPERATURE,DLIB-HX521-PK,90,45
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TICA5621.MEAS,FUEL GAS TEMP IND TO FSO,Process,Fuel Gas,TEMPERATURE," DLIB-F562-PK,",80,60
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TICA6111.MEAS,HX-611 INLET TEMP IND,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,80,60
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TT5621.MEAS,FUEL GAS TEMP IND TO FSO,Process,Fuel Gas,TEMPERATURE," DLIB-F562-PK,",80,60
